"","OCCUPANCY_DATE","shelter_location_pair","capacity_actual_sum","capacity_funding_sum","occupied_sum","unoccupied_sum","unavailable_sum","occupancy_rate"
"754",21-07-08,"53 - 1103",61,91,61,0,30,1
"755",21-07-08,"2 - 1066",19,73,19,0,54,1
"756",21-07-08,"82 - 1163",66,NA,6,60,NA,0.0909090909090909
"757",21-07-09,"40 - 1114",179,230,157,22,51,0.877094972067039
"758",21-07-09,"53 - 1103",60,91,59,1,31,0.983333333333333
"759",21-07-09,"2 - 1066",19,73,19,0,54,1
"760",21-07-09,"82 - 1163",63,60,6,57,-3,0.0952380952380952
"761",21-07-10,"40 - 1114",181,232,158,23,51,0.87292817679558
"762",21-07-10,"53 - 1103",60,91,59,1,31,0.983333333333333
"763",21-07-10,"2 - 1066",20,73,20,0,53,1
"764",21-07-10,"82 - 1163",63,60,3,60,-3,0.0476190476190476
"765",21-07-11,"40 - 1114",179,230,160,19,51,0.893854748603352
"766",21-07-11,"53 - 1103",59,91,59,0,32,1
"767",21-07-11,"2 - 1066",20,73,20,0,53,1
"768",21-07-11,"82 - 1163",29,30,1,28,1,0.0344827586206897
"769",21-07-12,"40 - 1114",179,230,161,18,51,0.899441340782123
"770",21-07-12,"53 - 1103",59,91,58,1,32,0.983050847457627
"771",21-07-12,"2 - 1066",21,73,21,0,52,1
"772",21-07-12,"82 - 1163",29,30,1,28,1,0.0344827586206897
